operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2001-06-21,10:30 AM,11:00 AM,2001-06-25,null,null,ofbba62001.pdf,null,"ofbbr62101p1.pdf, ofbbr62101p2.pdf",null,null,null,null,null,7,8415000000.00,100000.00,null,null,12,1750000000.00
2001-05-24,10:30 AM,11:00 AM,2001-05-29,null,null,ofbba52301.pdf,null,"ofbbr52401p1.pdf, ofbbr52401p2.pdf",null,null,null,null,null,4,6733000000.00,100000.00,null,null,10,750000000.00
2001-05-17,10:30 AM,11:00 AM,2001-05-21,null,null,ofbba51601.pdf,null,"ofbbr51701p1.pdf, ofbbr51701p2.pdf",null,null,null,null,null,9,5775000000.00,100000.00,null,null,12,1750000000.00
2001-04-26,10:30 AM,11:00 AM,2001-04-30,null,null,ofbba42501.pdf,null,"ofbbr42601p1.pdf, ofbbr42601p2.pdf",null,null,null,null,null,11,7138000000.00,100000.00,null,null,12,2001000000.00
2001-04-19,10:30 AM,11:00 AM,2001-04-23,null,null,ofbba41801.pdf,null,"ofbbr41901p1.pdf, ofbbr41901p2.pdf",null,null,null,null,null,10,8040000000.00,100000.00,null,null,12,2000000000.00
2001-03-29,10:30 AM,11:00 AM,2001-04-02,null,null,ofbba32801.pdf,null,"ofbbr32901p1.pdf, ofbbr32901p2.pdf",null,null,null,null,null,4,6197000000.00,100000.00,null,null,10,1000000000.00
2001-03-22,10:30 AM,11:00 AM,2001-03-26,null,null,ofbba32101.pdf,null,"ofbbr32201p1.pdf, ofbbr32201p2.pdf",null,null,null,null,null,10,3750000000.00,100000.00,null,null,11,1750000000.00
2001-03-01,10:30 AM,11:00 AM,2001-03-05,null,null,ofbba22801.pdf,null,"ofbbr30101p1.pdf, ofbbr30101p2.pdf",null,null,null,null,null,11,5490000000.00,100000.00,null,null,11,1750000000.00
2001-02-22,10:30 AM,11:00 AM,2001-02-26,null,null,ofbba22101.pdf,null,"ofbbr22201p1.pdf, ofbbr22201p2.pdf",null,null,null,null,null,9,5536000000.00,100000.00,null,null,12,1750000000.00
2001-01-25,10:30 AM,11:00 AM,2001-01-29,null,null,ofbba12401.pdf,null,"ofbbr12501p1.pdf, ofbbr12501p2.pdf",null,null,null,null,null,4,5158000000.00,100000.00,null,null,10,1000000000.00
2001-01-18,10:30 AM,11:00 AM,2001-01-22,null,null,ofbba11701.pdf,null,"ofbbr11801p1.pdf, ofbbr11801p2.pdf",null,null,null,null,null,10,5242000000.00,100000.00,null,null,12,1750000000.00
